country,ranking_category
Netherlands,Leading Adoption
Germany,Leading Adoption
Ireland,Leading Adoption
United Kingdom of Great Britain and Northern Ireland,Leading Adoption
United States of America,Leading Adoption
Estonia,Leading Adoption
Italy,Leading Adoption
France,Leading Adoption
Canada,Leading Adoption
Australia,Leading Adoption
Singapore,Leading Adoption
Japan,Leading Adoption
Slovenia,Leading Adoption
Portugal,Leading Adoption
Switzerland,Leading Adoption
Spain,Leading Adoption
United Arab Emirates,Leading Adoption
Brazil,Leading Adoption
Uruguay,Leading Adoption
Finland,Leading Adoption
Poland,Leading Adoption
Romania,Leading Adoption
Chile,Leading Adoption
Belgium,Leading Adoption
India,Leading Adoption
Ukraine,Leading Adoption
Republic of Korea,Leading Adoption
Greece,Leading Adoption
Lithuania,Leading Adoption
Austria,Leading Adoption
Philippines,Leading Adoption
China,Leading Adoption
Viet Nam,Leading Adoption
Taiwan,Leading Adoption
Slovakia,Leading Adoption
Hungary,Strong Adoption
Qatar,Strong Adoption
Jordan,Strong Adoption
Bulgaria,Strong Adoption
Saudi Arabia,Strong Adoption
Malaysia,Strong Adoption
South Africa,Strong Adoption
New Zealand,Strong Adoption
Costa Rica,Strong Adoption
Latvia,Strong Adoption
Palestine,Strong Adoption
Thailand,Strong Adoption
Colombia,Strong Adoption
Croatia,Strong Adoption
Dominican Republic,Strong Adoption
Morocco,Strong Adoption
"China, Hong Kong Special Administrative Region",Strong Adoption
Benin,Strong Adoption
Argentina,Strong Adoption
Serbia,Strong Adoption
Senegal,Strong Adoption
Kuwait,Strong Adoption
North Macedonia,Strong Adoption
Rwanda,Strong Adoption
Georgia,Strong Adoption
Peru,Strong Adoption
Tunisia,Strong Adoption
Egypt,Strong Adoption
Mexico,Strong Adoption
Montenegro,Strong Adoption
Oman,Strong Adoption
Indonesia,Strong Adoption
Pakistan,Strong Adoption
Republic of Moldova,Strong Adoption
Uzbekistan,Emerging Adoption
Cambodia,Emerging Adoption
Sri Lanka,Emerging Adoption
Namibia,Emerging Adoption
Kazakhstan,Emerging Adoption
Panama,Emerging Adoption
Mongolia,Emerging Adoption
Kenya,Emerging Adoption
Bahrain,Emerging Adoption
Kyrgyz Republic,Emerging Adoption
Nigeria,Emerging Adoption
Tajikistan,Emerging Adoption
Nepal,Emerging Adoption
Jamaica,Emerging Adoption
Paraguay,Emerging Adoption
Mauritius,Emerging Adoption
Ghana,Emerging Adoption
Ethiopia,Emerging Adoption
Azerbaijan,Emerging Adoption
Guyana,Emerging Adoption
Niger,Emerging Adoption
Antigua and Barbuda,Emerging Adoption
Zambia,Emerging Adoption
Trinidad and Tobago,Emerging Adoption
Libya,Emerging Adoption
Ecuador,Emerging Adoption
Albania,Emerging Adoption
Cameroon,Emerging Adoption
Zimbabwe,Emerging Adoption
Lebanon,Emerging Adoption
Saint Lucia,Emerging Adoption
Armenia,Emerging Adoption
Belize,Emerging Adoption
El Salvador,Emerging Adoption
Algeria,Low Adoption
Botswana,Low Adoption
Uganda,Low Adoption
Burkina Faso,Low Adoption
United Republic of Tanzania,Low Adoption
Kosovo,Low Adoption
Belarus,Low Adoption
Turkmenistan,Low Adoption
Barbados,Low Adoption
Bhutan,Low Adoption
Mozambique,Low Adoption
Gabon,Low Adoption
Lao People's Democratic Republic,Low Adoption
Bolivia (Plurinational State of),Low Adoption
Guatemala,Low Adoption
Malawi,Low Adoption
Chad,Low Adoption
Lesotho,Low Adoption
Togo,Low Adoption
C̫te d'Ivoire,Low Adoption
Sierra Leone,Low Adoption
Gambia,Low Adoption
Somalia,Low Adoption
Honduras,Low Adoption
Guinea,Low Adoption
Haiti,Low Adoption
Burundi,Low Adoption
Mali,Low Adoption
Democratic Republic of the Congo,Low Adoption
Liberia,Low Adoption
Myanmar,Low Adoption
Afghanistan,Low Adoption
Central African Republic,Low Adoption
Eritrea,Low Adoption
South Sudan,Low Adoption
